Anthony Brooks,8.03,L D' R2' F D' R D L U' L' U' R' U' R U' R U' R' U y' R' U R y' R U' R2' U R U y' R' U' R U R U R' U R U L' U R' U' L R U' R U R U R U' R' U' R2,CFOP,54,6.72,57,7.10,3
Anthony Brooks,8.61,D R' L' F' D' L U U L' R U' R' y' U y' U L' U L U2 R U' R' U R' U' R y' R' U' R U' R' U' R U L F' L' U' L U F U' L' U' M' U M2' U M2' U M' U2 M2' U,CFOP,53,6.16,56,6.50,3
Anthony Brooks,10.22,R' D' R' U x' D' L D L' U L y y U U R U' R' L U' L' R U' R' U' R U' R' U y' R' U' R y' U' R' U' R U U r U2 R' U' R U' r' U' U U R R' R U R' U' R' F R2 U' R' U F' L' U L,CFOP,61,5.97,66,6.46,5
Andy Tsao,10.66,D' U r U' R' D' x' U d R U' R' D' y2' U R' U' R U R' U' R U' y' R' U' R2 U R' U2' R' U2 R U' R' U R R2' U R' B' R U' R2' U R B R' U3 R U' R' U' R U R D R' U' R D' R' U2 R' U2,CFOP,62,5.82,65,6.10,3
Andy Tsao,12.28,D U R' F R2 L y' D2' R' U2 y' R U R' y2' U y R U' R' y' U L' U L R2 U' R2' U R2 U' R' U R U' y U' R U R' r U r' R U R' U' r U' r' U2 F' U' F R2 u R' U R U' R u' R2',CFOP,57,4.64,63,5.13,6
Andy Tsao,13.94,F R U' (r' L') U (x y') L U R U2' R' L U' L' d U2 L U' L' R U' R' y' R2 U2' R' U' R U' R' U2 R' y' U3 L' U' L R U' R' L' U L U' L' U' L R U2' R2' F R F' U2' R' F R F' U R U R' y' R2 u' R U' R' U R' u R2 U,CFOP,70,5.02,75,5.38,5
Andy Tsao,9.11,R' F D L D R U R' d' R' U' R2 U' R' U2 R U' R' y2' U2 R' U R U' R U2' R' U R U' R' U' R U R' U' R' F R F' U' R U R' F' R U R' U' R' F R2' U' R' U2,CFOP,54,5.93,55,6.04,1
Andy Tsao,10.66,L F' U2 R y' U' R' U R y' U' R' U2 R d' L' U L y R' U' R U y' R U R' y U2 R' U2 R U2' R' U R U F' r U R' U' r' F R U2 R' U R' d' R' F' R2 U' R' U l' U R U,CFOP,55,5.16,60,5.63,5
Thompson Clarke,11.91,L U D2' (L' r') z' U R' R' U R U' y U' R' U' R y' U R' U R U' y L' U L R U R' U L U L' U R U' R' U y' R' U R U3' r' U' R U' R' U2 r U x' R2 D2' R' U' R D2' R' U R',CFOP,56,4.70,62,5.21,6
Thompson Clarke,12.25,D' U2 L' z' L' D R' D' y' R U R' y R U' R' U' y L' U' L y3' U R' U' R2 U R' y R U2' R' U2 R U' R' y R' U' R U R' U' R U r U R' U' L' U R U' x' U R U R' F' R U R' U' R' F R2 U' R' U',CFOP,61,4.98,69,5.63,8
